
> frontend@0.1.0 dev
> next dev

▲ Next.js 16.1.5 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://10.172.70.70:3000
- Environments: .env.local

✓ Starting...
✓ Ready in 1675ms
 GET / 200 in 1941ms (compile: 1472ms, render: 468ms)
 GET /?persona=executors&timeframe=7d 200 in 22ms (compile: 5ms, render: 16ms)
 GET /?persona=executors&timeframe=30d 200 in 29ms (compile: 5ms, render: 25ms)
 GET /?persona=executors&timeframe=today 200 in 21ms (compile: 4ms, render: 17ms)
 GET /?persona=executors&timeframe=today 200 in 31ms (compile: 11ms, render: 21ms)
 GET /story/876e60bd-7c43-4a75-b1c9-9d193f0bb7f1 200 in 130ms (compile: 30ms, render: 99ms)
 GET /?persona=executors&timeframe=today&category=Markets%2CStrategy 200 in 38ms (compile: 12ms, render: 26ms)
 GET /?persona=executors&timeframe=today&category=Enterprise%2CIndustry 200 in 27ms (compile: 8ms, render: 18ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 22ms (compile: 5ms, render: 17ms)
 GET /?persona=executors&timeframe=today&category=Compute 200 in 25ms (compile: 5ms, render: 21ms)
 GET /?persona=executors&timeframe=today&category=Startups 200 in 21ms (compile: 4ms, render: 17ms)
 GET /?persona=explorers&timeframe=today 200 in 27ms (compile: 8ms, render: 19ms)
 GET /?persona=explorers&timeframe=today&category=AGI+%26+Future 200 in 25ms (compile: 5ms, render: 20ms)
 GET /?persona=explorers&timeframe=today&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 22ms (compile: 5ms, render: 17ms)
 GET /?persona=explorers&timeframe=today&category=Demos+%26+Creativity 200 in 24ms (compile: 5ms, render: 19ms)
 GET /?persona=builders&timeframe=today 200 in 27ms (compile: 6ms, render: 21ms)
 GET /?persona=builders&timeframe=30d 200 in 29ms (compile: 5ms, render: 24ms)
 GET /?persona=executors&timeframe=30d 200 in 22ms (compile: 4ms, render: 18ms)
 GET /?persona=explorers&timeframe=30d 200 in 23ms (compile: 4ms, render: 19ms)
 GET /?persona=explorers&timeframe=30d 200 in 27ms (compile: 12ms, render: 15ms)
 GET /?persona=builders&timeframe=30d 200 in 22ms (compile: 5ms, render: 17ms)
 GET /?persona=builders&timeframe=30d 200 in 23ms (compile: 6ms, render: 18ms)
 GET /?persona=executors&timeframe=30d 200 in 24ms (compile: 7ms, render: 17ms)
 GET /?persona=explorers&timeframe=30d 200 in 28ms (compile: 4ms, render: 23ms)
 GET /?persona=explorers&timeframe=30d&category=Ethics%2CJobs+%26+Society%2CPolicy 200 in 26ms (compile: 6ms, render: 20ms)
 GET /?persona=explorers&timeframe=30d&category=AGI+%26+Future 200 in 34ms (compile: 11ms, render: 23ms)
 GET /?persona=explorers&timeframe=30d 200 in 23ms (compile: 4ms, render: 18ms)
 GET /?persona=executors&timeframe=30d 200 in 30ms (compile: 5ms, render: 25ms)
 GET /?persona=executors&timeframe=30d&category=Markets%2CStrategy 200 in 29ms (compile: 5ms, render: 24ms)
 GET /?persona=executors&timeframe=30d&category=Enterprise%2CIndustry 200 in 23ms (compile: 6ms, render: 18ms)
 GET /?persona=executors&timeframe=30d&category=Startups 200 in 20ms (compile: 5ms, render: 16ms)
 GET /?persona=executors&timeframe=30d&category=Compute 200 in 27ms (compile: 5ms, render: 22ms)
 GET /?persona=executors&timeframe=30d&category=Startups 200 in 23ms (compile: 5ms, render: 18ms)
 GET /?persona=executors&timeframe=30d&category=Enterprise%2CIndustry 200 in 25ms (compile: 5ms, render: 21ms)
 GET /?persona=builders&timeframe=30d 200 in 22ms (compile: 4ms, render: 17ms)
 GET /?persona=builders&timeframe=30d&category=Papers 200 in 25ms (compile: 6ms, render: 19ms)
 GET /?persona=builders&timeframe=30d&category=Open+Source 200 in 23ms (compile: 5ms, render: 18ms)
